player_name,mlb_id,team_code,is_pitcher,AB,mlb_team,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
J. Burger,,LDL,false,,TEX,,,,,,,,,,,,,
M. Ozuna,,TST,false,,ATL,,,,,,,,,,,,,
J. Paxson,,DKD,true,,BOS,,,,,,,,,,,,,
D. Hudson,,DLC,true,,,,,,,,,,,,,,,
C. Doval,,DDD,true,,NYY,,,,,,,,,,,,,
K. Harrison,,SDS,true,,BOS,,,,,,,,,,,,,
M. Parker,,RSR,true,,WSH,,,,,,,,,,,,,
M. Grove,,DD2,true,,,,,,,,,,,,,,,
B. Treinen,,LDL,true,,,,,,,,,,,,,,,
B. Snell,,TST,true,,LAD,,,,,,,,,,,,,
J. Montgomery,,DKD,true,,,,,,,,,,,,,,,
M. Waldron,,DLC,true,,,,,,,,,,,,,,,
L. Webb,,DDD,true,,SF,,,,,,,,,,,,,
J. Hicks,,SDS,true,,BOS,,,,,,,,,,,,,
F. Peralta,,RSR,true,,MIL,,,,,,,,,,,,,
J. Luzardo,,DD2,true,,PHI,,,,,,,,,,,,,
C. Holderman,,LDL,true,,,,,,,,,,,,,,,
T. Megill,,TST,true,,MIL,,,,,,,,,,,,,
E. Diaz,,DKD,true,,SD,,,,,,,,,,,,,
J. Steele,,DLC,true,,CHC,,,,,,,,,,,,,
L. Severino,,DDD,true,,OAK,,,,,,,,,,,,,
C. Morton,,SDS,true,,ATL,,,,,,,,,,,,,
Y. Yamamoto,,RSR,true,,LAD,,,,,,,,,,,,,
W. Buehler,,DD2,true,,PHI,,,,,,,,,,,,,
J. Payamos,,LDL,true,,,,,,,,,,,,,,,
M. Fried,,TST,true,,NYY,,,,,,,,,,,,,
R. Iglesias,,DKD,true,,ATL,,,,,,,,,,,,,
Z. Wheeler,,DLC,true,,PHI,,,,,,,,,,,,,
Y. Darvish,,DDD,true,,SD,,,,,,,,,,,,,
P. Sewald,,SDS,true,,DET,,,,,,,,,,,,,
A. Abbott,,RSR,true,,CIN,,,,,,,,,,,,,
A. Diaz,,DD2,true,,TEX,,,,,,,,,,,,,
E. Jeremiah,,LDL,true,,,,,,,,,,,,,,,
K. Gibson,,TST,true,,,,,,,,,,,,,,,
M. Gore,,DKD,true,,WSH,,,,,,,,,,,,,
J. Assad,,DLC,true,,,,,,,,,,,,,,,
C. Scott,,DDD,true,,,,,,,,,,,,,,,
S. Ohtani,,SDS,true,,LAD,,,,,,,,,,,,,
H. Neris,,RSR,true,,,,,,,,,,,,,,,
C. Sanchez,,DD2,true,,PHI,,,,,,,,,,,,,
B. Miller,,LDL,true,,LAD,,,,,,,,,,,,,
M. King,,TST,true,,SD,,,,,,,,,,,,,
R. Suarez,,DKD,true,,PHI,,,,,,,,,,,,,
J. Alvarado,,DLC,true,,PHI,,,,,,,,,,,,,
J. Hoffman,,DDD,true,,,,,,,,,,,,,,,
T. Scott,,SDS,true,,LAD,,,,,,,,,,,,,
J. Jones,,RSR,true,,PIT,,,,,,,,,,,,,
Z. Gallen,,DD2,true,,AZ,,,,,,,,,,,,,
M. Strahm,,LDL,true,,KC,,,,,,,,,,,,,
S. Gray,,TST,true,,BOS,,,,,,,,,,,,,
K. Senga,,DKD,true,,NYM,,,,,,,,,,,,,
R. Lopez,,DLC,true,,ATL,,,,,,,,,,,,,
G. Stone,,DDD,true,,,,,,,,,,,,,,,
C. Sale,,SDS,true,,ATL,,,,,,,,,,,,,
D. Bednar,,RSR,true,,NYY,,,,,,,,,,,,,
N. Lodolo,,DD2,true,,CIN,,,,,,,,,,,,,
A. Vesia,,LDL,true,,,,,,,,,,,,,,,
B. Brown,,TST,true,,CHC,,,,,,,,,,,,,
M. Keller,,DKD,true,,PIT,,,,,,,,,,,,,
A. Nola,,DLC,true,,PHI,,,,,,,,,,,,,
Rg. Suarez,,DDD,true,,,,,,,,,,,,,,,
D. Cease,,SDS,true,,TOR,,,,,,,,,,,,,
H. Greene,,RSR,true,,CIN,,,,,,,,,,,,,
K. Finnegan,,DD2,true,,DET,,,,,,,,,,,,,
T. Rogers,,LDL,true,,,,,,,,,,,,,,,
T. Megill,,TST,true,,MIL,,,,,,,,,,,,,
T. Glasnow,,DKD,true,,LAD,,,,,,,,,,,,,
P. Skenes,,DLC,true,,PIT,,,,,,,,,,,,,
E. Phillips,,DDD,true,,LAD,,,,,,,,,,,,,
R. Helsley,,SDS,true,,BAL,,,,,,,,,,,,,
J. Irvin,,RSR,true,,WSH,,,,,,,,,,,,,
S. Imanaga,,DD2,true,,CHC,,,,,,,,,,,,,
J. Martinez,,LDL,true,,AZ,,,,,,,,,,,,,
S. Turnbull,,TST,true,,,,,,,,,,,,,,,
